"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 29, 2022","47,345.0","47,126.0","48,127.0","47,029.0","498.54M","0.51%"
"Mar 28, 2022","47,105.0","46,859.0","48,199.0","46,672.0","610.27M","0.52%"
"Mar 27, 2022","46,859.0","44,542.0","46,947.0","44,445.0","388.79M","5.19%"
"Mar 26, 2022","44,548.0","44,331.0","44,818.0","44,090.0","196.30M","0.49%"
"Mar 25, 2022","44,331.0","44,013.0","45,112.0","43,622.0","494.09M","0.72%"
"Mar 24, 2022","44,013.0","42,911.0","44,251.0","42,658.0","491.66M","2.57%"
"Mar 23, 2022","42,912.0","42,373.0","43,027.0","41,795.0","433.96M","1.27%"
"Mar 22, 2022","42,373.0","41,022.0","43,327.9","40,893.0","537.06M","3.29%"
"Mar 21, 2022","41,022.0","41,282.0","41,532.0","40,530.0","406.62M","-0.62%"
"Mar 20, 2022","41,276.0","42,241.0","42,301.0","40,922.0","308.45M","-2.27%"
"Mar 19, 2022","42,233.0","41,768.0","42,386.0","41,529.6","224.59M","1.11%"
"Mar 18, 2022","41,767.8","40,914.6","42,308.4","40,234.8","2.31B","2.08%"
"Mar 17, 2022","40,914.8","41,118.7","41,406.0","40,557.8","1.90B","-0.50%"
"Mar 16, 2022","41,118.7","39,282.5","41,701.6","38,953.2","4.47B","4.67%"
"Mar 15, 2022","39,285.7","39,673.0","39,854.7","38,220.9","2.25B","-0.97%"
"Mar 14, 2022","39,671.1","37,789.5","39,914.3","37,613.6","2.33B","4.97%"
"Mar 13, 2022","37,792.4","38,813.2","39,272.3","37,603.4","1.55B","-2.63%"
"Mar 12, 2022","38,814.3","38,730.2","39,355.3","38,666.5","1.11B","0.22%"
"Mar 11, 2022","38,730.2","39,422.5","40,177.0","38,236.4","2.79B","-1.74%"
"Mar 10, 2022","39,416.3","41,933.9","42,029.1","38,603.5","3.62B","-5.99%"
"Mar 09, 2022","41,929.0","38,731.5","42,538.5","38,663.3","3.60B","8.22%"
"Mar 08, 2022","38,744.8","38,020.6","39,351.5","37,886.6","2.67B","1.89%"
"Mar 07, 2022","38,024.8","38,420.6","39,532.0","37,182.1","3.02B","-0.99%"
"Mar 06, 2022","38,403.1","39,396.3","39,668.1","38,115.0","1.93B","-2.52%"
"Mar 05, 2022","39,395.8","39,142.8","39,600.2","38,626.1","1.50B","0.65%"
"Mar 04, 2022","39,142.7","42,463.0","42,848.7","38,594.9","3.21B","-7.82%"
"Mar 03, 2022","42,463.0","43,912.8","44,077.2","41,840.8","74.11K","-3.30%"
"Mar 02, 2022","43,912.8","44,420.3","45,294.2","43,361.3","80.82K","-1.14%"
"Mar 01, 2022","44,420.3","43,187.2","44,900.5","42,876.6","90.67K","2.85%"
